Date,Open,High,Low,Close,Volume
2020-02-22 00:40:00.,-12,345,322,387,44
2020-02-22 00:41:00.,-49,65,-42,19,84
2020-02-22 00:42:00.,-52,119,0,69,94
2020-02-22 00:43:00.,-18,36,-18,15,43.5
2020-02-22 00:44:00.,-49,114,-1,64,90
2020-02-22 00:45:00.,-48,114,0,64,89
2020-02-22 00:46:00.,-45,115,-5,74,99.5
2020-02-22 00:47:00.,-49,113,-6,63,94
2020-02-22 00:48:00.,-46,115,-4,66,94.5
2020-02-22 00:49:00.,-49,116,-5,69,97.5
2020-02-22 00:50:00.,-45,118,50,69,43.5
2020-02-22 00:51:00.,-44,17,-4,69,47
2020-02-22 00:52:00.,-52,123,-7,64,100.5
2020-02-22 00:53:00.,-51,125,-6,66,101.5
2020-02-22 00:54:00.,-52,122,-10,65,103.5
2020-02-22 00:55:00.,-51,124,-9,64,103
2020-02-22 00:56:00.,-54,123,-10,63,103
2020-02-22 00:57:00.,-50,125,-9,67,105
2020-02-22 00:58:00.,-55,127,-7,75,108
2020-02-22 00:59:00.,-51,125,-9,65,104
2020-02-22 01:00:00.,-49,126,-8,68,105
2020-02-22 01:01:00.,-54,122,-11,63,103.5
2020-02-22 01:02:00.,-50,125,-10,64,104.5
2020-02-22 01:03:00.,-49,123,-12,63,105
2020-02-22 01:04:00.,-55,123,-14,64,107.5
2020-02-22 01:05:00.,-64,122,-13,62,105
2020-02-22 01:06:00.,-51,126,-10,68,107
2020-02-22 01:07:00.,-58,123,-12,70,108.5
2020-02-22 01:08:00.,-56,124,-11,63,104.5
2020-02-22 01:09:00.,-50,128,-8,68,106
2020-02-22 01:10:00.,-51,126,-11,68,108
2020-02-22 01:11:00.,-53,126,-11,65,106.5
2020-02-22 01:12:00.,-51,126,-11,59,103.5
2020-02-22 01:13:00.,-50,128,-11,69,109.5
2020-02-22 01:14:00.,-55,128,-10,66,107
2020-02-22 01:15:00.,-46,130,-7,71,107.5
2020-02-22 01:16:00.,-54,128,-8,67,105.5
2020-02-22 01:17:00.,-54,128,-10,72,110
2020-02-22 01:18:00.,-48,127,-10,69,108
2020-02-22 01:19:00.,-56,128,-11,76,113
2020-02-22 01:20:00.,-53,126,-13,64,108
2020-02-22 01:21:00.,-52,126,-12,67,108.5
2020-02-22 01:22:00.,-51,126,-12,68,109
2020-02-22 01:23:00.,-56,124,-17,63,110.5
2020-02-22 01:24:00.,-64,126,-12,49,99.5
2020-02-22 01:25:00.,-51,127,-14,67,111
2020-02-22 01:26:00.,-63,117,-21,55,107
2020-02-22 01:27:00.,-54,125,-14,66,109.5
2020-02-22 01:28:00.,-62,128,-11,68,109
2020-02-22 01:29:00.,-62,118,-12,58,100
2020-02-22 01:30:00.,-53,126,-14,65,109.5
2020-02-22 01:31:00.,-64,128,-13,72,113
2020-02-22 01:32:00.,-53,126,-14,63,108.5
2020-02-22 01:33:00.,-55,126,-14,63,108.5
2020-02-22 01:34:00.,-56,127,-13,67,110
2020-02-22 01:35:00.,-56,125,-15,63,109
2020-02-22 01:36:00.,-63,123,-17,53,105
2020-02-22 01:37:00.,-51,129,-12,70,111.5
2020-02-22 01:38:00.,-56,126,-14,64,109
2020-02-22 01:39:00.,-51,126,-15,67,111.5
2020-02-22 01:40:00.,-52,127,-15,67,112
2020-02-22 01:41:00.,-56,124,-16,62,109
